episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-806.781973785183,-911.6434656184963,-878.7481842146566,200.0,20,2,4000,4000,False,20,1,f805ca0ec9b64771a6c9af1443f1f54b,2021-09-17_18-10-45,1631927445,32.160900831222534,32.160900831222534,21536,028b450fc55a,172.17.0.2,32.160900831222534,0,1,22eaf_00000,"[-906.0017839657843, -894.9677822079316, -858.8334379339599, -884.3186034399359, -872.0377939442271, -888.5854122690415, -879.966184758547, -899.7154708274109, -890.4048108329501, -911.6434656184963, -882.911722331095, -888.4419586824292, -856.8681309795317, -806.781973785183, -830.7137220591943, -862.1939477654832, -876.6968221197257, -888.6568251960457, -888.6445192316959, -906.5793163444656]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.29658609959317833,4.817358199981735,0.21490646802682037,1.7654238076045594,0.0,14510.138,275.669,0.072,55370349.835,17639.584,226.763,2.807,4000,4000,4000,4000,18.563043478260873,17.882608695652173,0.0,0.20000000000000004,5.0000000000000016e-05,74563.39161206318,-0.04727521293936798,74563.43600050404,[-0.00298364],0.014753337491065785,4.144240495722781,0.0
-806.781973785183,-916.8430763348126,-880.7799860048508,200.0,20,2,8000,8000,False,40,2,f805ca0ec9b64771a6c9af1443f1f54b,2021-09-17_18-11-14,1631927474,29.904812335968018,62.06571316719055,21536,028b450fc55a,172.17.0.2,62.06571316719055,0,2,22eaf_00000,"[-906.0017839657843, -894.9677822079316, -858.8334379339599, -884.3186034399359, -872.0377939442271, -888.5854122690415, -879.966184758547, -899.7154708274109, -890.4048108329501, -911.6434656184963, -882.911722331095, -888.4419586824292, -856.8681309795317, -806.781973785183, -830.7137220591943, -862.1939477654832, -876.6968221197257, -888.6568251960457, -888.6445192316959, -906.5793163444656, -916.8430763348126, -897.1947886190931, -886.30669525176, -874.163802002246, -892.8565349181712, -870.082338150242, -834.3383542065461, -895.8322217598366, -898.1774420963078, -899.1502444130793, -850.6883215899077, -892.0247313841039, -875.4278572570782, -882.4721061986073, -902.54030772593, -867.1269494172517, -883.0594897377306, -861.088138810333, -913.1322385473875, -863.7301174804694]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.27747232976945785,4.527973328290787,0.20259969197346694,1.6512940143848254,0.0,12694.896,315.087,0.102,39290903.981,18323.649,218.297,3.665,8000,8000,8000,8000,16.92558139534884,17.988372093023255,0.0,0.20000000000000004,5.0000000000000016e-05,70217.78638692877,-0.04931690503382474,70217.83306451613,[-0.00973531],0.01345414287746435,4.123502624163064,0.0
-806.781973785183,-916.8430763348126,-880.7062501175539,200.0,20,2,12000,12000,False,60,3,f805ca0ec9b64771a6c9af1443f1f54b,2021-09-17_18-11-50,1631927510,34.92780947685242,96.99352264404297,21536,028b450fc55a,172.17.0.2,96.99352264404297,0,3,22eaf_00000,"[-906.0017839657843, -894.9677822079316, -858.8334379339599, -884.3186034399359, -872.0377939442271, -888.5854122690415, -879.966184758547, -899.7154708274109, -890.4048108329501, -911.6434656184963, -882.911722331095, -888.4419586824292, -856.8681309795317, -806.781973785183, -830.7137220591943, -862.1939477654832, -876.6968221197257, -888.6568251960457, -888.6445192316959, -906.5793163444656, -916.8430763348126, -897.1947886190931, -886.30669525176, -874.163802002246, -892.8565349181712, -870.082338150242, -834.3383542065461, -895.8322217598366, -898.1774420963078, -899.1502444130793, -850.6883215899077, -892.0247313841039, -875.4278572570782, -882.4721061986073, -902.54030772593, -867.1269494172517, -883.0594897377306, -861.088138810333, -913.1322385473875, -863.7301174804694, -909.9792308177582, -876.8033258684754, -905.1053361286442, -861.4064584810006, -872.1664867625824, -873.0998844375852, -856.636612736729, -891.716262873878, -904.9994281676851, -886.7235265268523, -866.324699364512, -815.3377485681875, -869.102139476935, -874.4008575854665, -906.9819826390911, -909.7003157888599, -876.1765376875825, -897.8615772295473, -868.3860631194564, -888.2670925983734]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.2652678542168341,4.32805727643921,0.19397768850497965,1.5680886839864598,0.0,11729.369,341.024,0.106,37729871.064,20574.613,194.414,7.162,12000,12000,12000,12000,17.04,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,65066.58642893145,-0.054865794783828636,65066.63827704973,[-0.01473919],0.014478758109687373,4.098014812572028,0.0
-806.781973785183,-916.8430763348126,-877.5382673515812,200.0,20,2,16000,16000,False,80,4,f805ca0ec9b64771a6c9af1443f1f54b,2021-09-17_18-12-22,1631927542,32.00762939453125,129.00115203857422,21536,028b450fc55a,172.17.0.2,129.00115203857422,0,4,22eaf_00000,"[-906.0017839657843, -894.9677822079316, -858.8334379339599, -884.3186034399359, -872.0377939442271, -888.5854122690415, -879.966184758547, -899.7154708274109, -890.4048108329501, -911.6434656184963, -882.911722331095, -888.4419586824292, -856.8681309795317, -806.781973785183, -830.7137220591943, -862.1939477654832, -876.6968221197257, -888.6568251960457, -888.6445192316959, -906.5793163444656, -916.8430763348126, -897.1947886190931, -886.30669525176, -874.163802002246, -892.8565349181712, -870.082338150242, -834.3383542065461, -895.8322217598366, -898.1774420963078, -899.1502444130793, -850.6883215899077, -892.0247313841039, -875.4278572570782, -882.4721061986073, -902.54030772593, -867.1269494172517, -883.0594897377306, -861.088138810333, -913.1322385473875, -863.7301174804694, -909.9792308177582, -876.8033258684754, -905.1053361286442, -861.4064584810006, -872.1664867625824, -873.0998844375852, -856.636612736729, -891.716262873878, -904.9994281676851, -886.7235265268523, -866.324699364512, -815.3377485681875, -869.102139476935, -874.4008575854665, -906.9819826390911, -909.7003157888599, -876.1765376875825, -897.8615772295473, -868.3860631194564, -888.2670925983734, -862.7671663241402, -837.1828934259498, -872.8228284248031, -850.4069517571023, -903.3277970104123, -845.5355118718958, -901.3008963446097, -863.470308984666, -910.9495783306226, -859.534721578369, -886.7186169190369, -864.8728762734827, -825.6969695712598, -841.4472155063344, -843.1601422663067, -911.171841200774, -857.0337416909359, -883.4449085153791, -893.0640370200648, -846.777378057124]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.25786009576809094,4.204149032909967,0.1887580077773987,1.516367942391286,0.0,11435.346,349.793,0.105,38260469.783,20791.385,192.387,6.229,16000,16000,16000,16000,16.928260869565218,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,59021.240175571234,-0.06071764054077287,59021.2982484879,[-0.03089618],0.014722567470104852,4.0759444426464775,0.0
-806.781973785183,-916.8430763348126,-875.891693783807,200.0,20,2,20000,20000,False,100,5,f805ca0ec9b64771a6c9af1443f1f54b,2021-09-17_18-13-01,1631927581,39.63568592071533,168.63683795928955,21536,028b450fc55a,172.17.0.2,168.63683795928955,0,5,22eaf_00000,"[-906.0017839657843, -894.9677822079316, -858.8334379339599, -884.3186034399359, -872.0377939442271, -888.5854122690415, -879.966184758547, -899.7154708274109, -890.4048108329501, -911.6434656184963, -882.911722331095, -888.4419586824292, -856.8681309795317, -806.781973785183, -830.7137220591943, -862.1939477654832, -876.6968221197257, -888.6568251960457, -888.6445192316959, -906.5793163444656, -916.8430763348126, -897.1947886190931, -886.30669525176, -874.163802002246, -892.8565349181712, -870.082338150242, -834.3383542065461, -895.8322217598366, -898.1774420963078, -899.1502444130793, -850.6883215899077, -892.0247313841039, -875.4278572570782, -882.4721061986073, -902.54030772593, -867.1269494172517, -883.0594897377306, -861.088138810333, -913.1322385473875, -863.7301174804694, -909.9792308177582, -876.8033258684754, -905.1053361286442, -861.4064584810006, -872.1664867625824, -873.0998844375852, -856.636612736729, -891.716262873878, -904.9994281676851, -886.7235265268523, -866.324699364512, -815.3377485681875, -869.102139476935, -874.4008575854665, -906.9819826390911, -909.7003157888599, -876.1765376875825, -897.8615772295473, -868.3860631194564, -888.2670925983734, -862.7671663241402, -837.1828934259498, -872.8228284248031, -850.4069517571023, -903.3277970104123, -845.5355118718958, -901.3008963446097, -863.470308984666, -910.9495783306226, -859.534721578369, -886.7186169190369, -864.8728762734827, -825.6969695712598, -841.4472155063344, -843.1601422663067, -911.171841200774, -857.0337416909359, -883.4449085153791, -893.0640370200648, -846.777378057124, -852.4461583872553, -878.5611626658222, -856.6193652197516, -833.6426079025556, -890.3875633159724, -877.6480630994959, -852.0785509695623, -870.724482887184, -871.0606778074324, -907.2584428640818, -837.6471214871376, -866.8381832279111, -877.7145664186853, -872.1092388160444, -900.3009953504182, -912.5251526873791, -812.0215849310609, -856.7893216959922, -866.2557412414147, -893.47900927904]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.2555313803572185,4.1691754278362705,0.1872717244303935,1.5006662641986537,0.0,12021.367,332.741,0.098,40662181.289,21683.779,184.47,6.019,20000,20000,20000,20000,18.176785714285714,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,54306.76331485215,-0.05390628886469189,54306.81433761761,[-0.01855179],0.013767184358592883,4.048548983758495,0.0
-812.0215849310609,-917.0628844010566,-875.3830982522959,200.0,20,2,24000,24000,False,120,6,f805ca0ec9b64771a6c9af1443f1f54b,2021-09-17_18-13-37,1631927617,35.54521465301514,204.1820526123047,21536,028b450fc55a,172.17.0.2,204.1820526123047,0,6,22eaf_00000,"[-916.8430763348126, -897.1947886190931, -886.30669525176, -874.163802002246, -892.8565349181712, -870.082338150242, -834.3383542065461, -895.8322217598366, -898.1774420963078, -899.1502444130793, -850.6883215899077, -892.0247313841039, -875.4278572570782, -882.4721061986073, -902.54030772593, -867.1269494172517, -883.0594897377306, -861.088138810333, -913.1322385473875, -863.7301174804694, -909.9792308177582, -876.8033258684754, -905.1053361286442, -861.4064584810006, -872.1664867625824, -873.0998844375852, -856.636612736729, -891.716262873878, -904.9994281676851, -886.7235265268523, -866.324699364512, -815.3377485681875, -869.102139476935, -874.4008575854665, -906.9819826390911, -909.7003157888599, -876.1765376875825, -897.8615772295473, -868.3860631194564, -888.2670925983734, -862.7671663241402, -837.1828934259498, -872.8228284248031, -850.4069517571023, -903.3277970104123, -845.5355118718958, -901.3008963446097, -863.470308984666, -910.9495783306226, -859.534721578369, -886.7186169190369, -864.8728762734827, -825.6969695712598, -841.4472155063344, -843.1601422663067, -911.171841200774, -857.0337416909359, -883.4449085153791, -893.0640370200648, -846.777378057124, -852.4461583872553, -878.5611626658222, -856.6193652197516, -833.6426079025556, -890.3875633159724, -877.6480630994959, -852.0785509695623, -870.724482887184, -871.0606778074324, -907.2584428640818, -837.6471214871376, -866.8381832279111, -877.7145664186853, -872.1092388160444, -900.3009953504182, -912.5251526873791, -812.0215849310609, -856.7893216959922, -866.2557412414147, -893.47900927904, -895.0465914914704, -844.46171120198, -908.9891809840091, -904.3695574502808, -893.0393931465526, -861.6829187059915, -874.4279562628865, -850.43401848971, -885.4028510580849, -836.5240650150091, -880.7142694012603, -888.4321075219867, -862.0609411271035, -841.7310720878608, -845.3625048039565, -875.6008643250177, -917.0628844010566, -899.8983290557925, -892.1059954715505, -866.7569191404646]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.24489600597522293,4.00266292995032,0.18027610856655513,1.4312113923650258,0.0,11876.068,336.812,0.095,42136164.085,22132.193,180.732,5.861,24000,24000,24000,24000,16.745098039215687,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,51874.308106518816,-0.0623376672832115,51874.36725050403,[-0.02926698],0.01490725338337068,4.029254915124627,0.0
-812.0215849310609,-917.0628844010566,-874.6445444793613,200.0,20,2,28000,28000,False,140,7,f805ca0ec9b64771a6c9af1443f1f54b,2021-09-17_18-14-18,1631927658,41.23487591743469,245.41692852973938,21536,028b450fc55a,172.17.0.2,245.41692852973938,0,7,22eaf_00000,"[-909.9792308177582, -876.8033258684754, -905.1053361286442, -861.4064584810006, -872.1664867625824, -873.0998844375852, -856.636612736729, -891.716262873878, -904.9994281676851, -886.7235265268523, -866.324699364512, -815.3377485681875, -869.102139476935, -874.4008575854665, -906.9819826390911, -909.7003157888599, -876.1765376875825, -897.8615772295473, -868.3860631194564, -888.2670925983734, -862.7671663241402, -837.1828934259498, -872.8228284248031, -850.4069517571023, -903.3277970104123, -845.5355118718958, -901.3008963446097, -863.470308984666, -910.9495783306226, -859.534721578369, -886.7186169190369, -864.8728762734827, -825.6969695712598, -841.4472155063344, -843.1601422663067, -911.171841200774, -857.0337416909359, -883.4449085153791, -893.0640370200648, -846.777378057124, -852.4461583872553, -878.5611626658222, -856.6193652197516, -833.6426079025556, -890.3875633159724, -877.6480630994959, -852.0785509695623, -870.724482887184, -871.0606778074324, -907.2584428640818, -837.6471214871376, -866.8381832279111, -877.7145664186853, -872.1092388160444, -900.3009953504182, -912.5251526873791, -812.0215849310609, -856.7893216959922, -866.2557412414147, -893.47900927904, -895.0465914914704, -844.46171120198, -908.9891809840091, -904.3695574502808, -893.0393931465526, -861.6829187059915, -874.4279562628865, -850.43401848971, -885.4028510580849, -836.5240650150091, -880.7142694012603, -888.4321075219867, -862.0609411271035, -841.7310720878608, -845.3625048039565, -875.6008643250177, -917.0628844010566, -899.8983290557925, -892.1059954715505, -866.7569191404646, -858.0287330773123, -884.0101349297103, -905.0708410946897, -865.682522682758, -857.3520613616032, -878.4029163661406, -880.6379149216286, -879.9070777958929, -889.417215803109, -902.7305623108464, -896.3013913736513, -903.5796133618907, -814.0804938820974, -902.05143579123, -896.0440376817548, -895.4197043047691, -874.5541623325211, -854.7821233510746, -840.0465391784476, -904.2808970062994]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.24357392152100713,3.9765670494813175,0.17930087122445448,1.4105622542853689,0.0,12194.354,328.021,0.097,41063116.084,22841.197,175.122,6.069,28000,28000,28000,28000,17.901694915254236,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,48234.33273059476,-0.06014606755887789,48234.39007896505,[-0.02228003],0.0150493665361113,4.002008379402981,0.0
-812.0215849310609,-919.2726432952412,-875.1348412363029,200.0,20,2,32000,32000,False,160,8,f805ca0ec9b64771a6c9af1443f1f54b,2021-09-17_18-15-00,1631927700,41.47662138938904,286.8935499191284,21536,028b450fc55a,172.17.0.2,286.8935499191284,0,8,22eaf_00000,"[-862.7671663241402, -837.1828934259498, -872.8228284248031, -850.4069517571023, -903.3277970104123, -845.5355118718958, -901.3008963446097, -863.470308984666, -910.9495783306226, -859.534721578369, -886.7186169190369, -864.8728762734827, -825.6969695712598, -841.4472155063344, -843.1601422663067, -911.171841200774, -857.0337416909359, -883.4449085153791, -893.0640370200648, -846.777378057124, -852.4461583872553, -878.5611626658222, -856.6193652197516, -833.6426079025556, -890.3875633159724, -877.6480630994959, -852.0785509695623, -870.724482887184, -871.0606778074324, -907.2584428640818, -837.6471214871376, -866.8381832279111, -877.7145664186853, -872.1092388160444, -900.3009953504182, -912.5251526873791, -812.0215849310609, -856.7893216959922, -866.2557412414147, -893.47900927904, -895.0465914914704, -844.46171120198, -908.9891809840091, -904.3695574502808, -893.0393931465526, -861.6829187059915, -874.4279562628865, -850.43401848971, -885.4028510580849, -836.5240650150091, -880.7142694012603, -888.4321075219867, -862.0609411271035, -841.7310720878608, -845.3625048039565, -875.6008643250177, -917.0628844010566, -899.8983290557925, -892.1059954715505, -866.7569191404646, -858.0287330773123, -884.0101349297103, -905.0708410946897, -865.682522682758, -857.3520613616032, -878.4029163661406, -880.6379149216286, -879.9070777958929, -889.417215803109, -902.7305623108464, -896.3013913736513, -903.5796133618907, -814.0804938820974, -902.05143579123, -896.0440376817548, -895.4197043047691, -874.5541623325211, -854.7821233510746, -840.0465391784476, -904.2808970062994, -896.004633039985, -822.2921135453394, -891.9015759061679, -919.2726432952412, -857.1051865627528, -915.6012101495853, -906.8163719276866, -851.0140376171112, -885.642361445214, -879.5216590182446, -882.0423412265621, -903.0390308210717, -870.5465662114286, -891.4201003280024, -888.8643272979398, -873.6478633349388, -885.7630301744304, -904.8288759036535, -873.5339632296539, -861.3473515183462]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.2466808426442021,4.032493581292507,0.18184001530811827,1.4222727178092691,0.0,12468.447,320.81,0.096,41812376.324,23369.559,171.163,6.076,32000,32000,32000,32000,18.04576271186441,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,45012.951709509405,-0.06333146818502937,45013.01219548051,[-0.04649272],0.01515230919472592,3.9788942652363932,0.0
-812.0215849310609,-921.2527429627396,-876.8719900103738,200.0,20,2,36000,36000,False,180,9,f805ca0ec9b64771a6c9af1443f1f54b,2021-09-17_18-15-40,1631927740,39.535537004470825,326.42908692359924,21536,028b450fc55a,172.17.0.2,326.42908692359924,0,9,22eaf_00000,"[-852.4461583872553, -878.5611626658222, -856.6193652197516, -833.6426079025556, -890.3875633159724, -877.6480630994959, -852.0785509695623, -870.724482887184, -871.0606778074324, -907.2584428640818, -837.6471214871376, -866.8381832279111, -877.7145664186853, -872.1092388160444, -900.3009953504182, -912.5251526873791, -812.0215849310609, -856.7893216959922, -866.2557412414147, -893.47900927904, -895.0465914914704, -844.46171120198, -908.9891809840091, -904.3695574502808, -893.0393931465526, -861.6829187059915, -874.4279562628865, -850.43401848971, -885.4028510580849, -836.5240650150091, -880.7142694012603, -888.4321075219867, -862.0609411271035, -841.7310720878608, -845.3625048039565, -875.6008643250177, -917.0628844010566, -899.8983290557925, -892.1059954715505, -866.7569191404646, -858.0287330773123, -884.0101349297103, -905.0708410946897, -865.682522682758, -857.3520613616032, -878.4029163661406, -880.6379149216286, -879.9070777958929, -889.417215803109, -902.7305623108464, -896.3013913736513, -903.5796133618907, -814.0804938820974, -902.05143579123, -896.0440376817548, -895.4197043047691, -874.5541623325211, -854.7821233510746, -840.0465391784476, -904.2808970062994, -896.004633039985, -822.2921135453394, -891.9015759061679, -919.2726432952412, -857.1051865627528, -915.6012101495853, -906.8163719276866, -851.0140376171112, -885.642361445214, -879.5216590182446, -882.0423412265621, -903.0390308210717, -870.5465662114286, -891.4201003280024, -888.8643272979398, -873.6478633349388, -885.7630301744304, -904.8288759036535, -873.5339632296539, -861.3473515183462, -880.6102204564178, -824.003777076986, -883.3956527131669, -895.7084704941091, -901.7700659584243, -884.674468736257, -896.5156620994767, -920.0527362231891, -903.3696564560894, -866.1713946174569, -816.499613894293, -853.4731580588667, -921.2527429627396, -863.144592957463, -887.5461066330803, -874.6477643291304, -841.8714750827743, -843.4021074573432, -906.5399117026957, -869.7516805704115]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.25066817561116556,4.101144568639931,0.1848034814589188,1.4393309893772221,0.0,12368.606,323.399,0.101,39444865.204,23878.486,167.515,5.784,36000,36000,36000,36000,17.42105263157895,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,40388.046944304435,-0.062108524899769535,40388.10596228159,[-0.04691894],0.01635574594053967,3.958805760516915,0.0
-814.0804938820974,-921.2527429627396,-876.4512133911402,200.0,20,2,40000,40000,True,200,10,f805ca0ec9b64771a6c9af1443f1f54b,2021-09-17_18-16-13,1631927773,32.66947317123413,359.0985600948334,21536,028b450fc55a,172.17.0.2,359.0985600948334,0,10,22eaf_00000,"[-895.0465914914704, -844.46171120198, -908.9891809840091, -904.3695574502808, -893.0393931465526, -861.6829187059915, -874.4279562628865, -850.43401848971, -885.4028510580849, -836.5240650150091, -880.7142694012603, -888.4321075219867, -862.0609411271035, -841.7310720878608, -845.3625048039565, -875.6008643250177, -917.0628844010566, -899.8983290557925, -892.1059954715505, -866.7569191404646, -858.0287330773123, -884.0101349297103, -905.0708410946897, -865.682522682758, -857.3520613616032, -878.4029163661406, -880.6379149216286, -879.9070777958929, -889.417215803109, -902.7305623108464, -896.3013913736513, -903.5796133618907, -814.0804938820974, -902.05143579123, -896.0440376817548, -895.4197043047691, -874.5541623325211, -854.7821233510746, -840.0465391784476, -904.2808970062994, -896.004633039985, -822.2921135453394, -891.9015759061679, -919.2726432952412, -857.1051865627528, -915.6012101495853, -906.8163719276866, -851.0140376171112, -885.642361445214, -879.5216590182446, -882.0423412265621, -903.0390308210717, -870.5465662114286, -891.4201003280024, -888.8643272979398, -873.6478633349388, -885.7630301744304, -904.8288759036535, -873.5339632296539, -861.3473515183462, -880.6102204564178, -824.003777076986, -883.3956527131669, -895.7084704941091, -901.7700659584243, -884.674468736257, -896.5156620994767, -920.0527362231891, -903.3696564560894, -866.1713946174569, -816.499613894293, -853.4731580588667, -921.2527429627396, -863.144592957463, -887.5461066330803, -874.6477643291304, -841.8714750827743, -843.4021074573432, -906.5399117026957, -869.7516805704115, -855.2340454479115, -897.6861153577005, -864.9867763787673, -819.0159822825866, -833.8888869136164, -831.011076180652, -878.6670706267815, -896.4688611011726, -881.9462844260455, -891.516157128519, -875.3588991339815, -875.7190782503263, -887.0646310549154, -840.6911706641091, -872.8382169256638, -868.0406447713694, -839.8174757395516, -878.0550432141457, -869.6581105186153, -886.3658022144145]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.2527048269727611,4.13420824889252,0.18620186772887093,1.4410676551018522,0.0,12407.683,322.381,0.103,38989579.363,23480.6,170.353,5.463,40000,40000,40000,40000,17.92608695652174,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,37842.20421706989,-0.0636557341968861,37842.26492565524,[-0.09198581],0.01457695428346316,3.922404573553352,0.0
