episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-810.7994210667177,-913.6605151238566,-871.8911049925979,200.0,20,2,4000,4000,False,20,1,1d5803f9e43a4e4684cf6c920c3b966a,2021-09-17_15-35-34,1631918134,13.019059658050537,13.019059658050537,18973,028b450fc55a,172.17.0.2,13.019059658050537,0,1,85d1a_00000,"[-876.5318071961119, -844.1477053513357, -851.7621222598242, -882.6943690687582, -902.8118263982929, -889.5163551401363, -839.3458513218301, -892.2075896124853, -835.8966810463247, -899.1502444130789, -894.0762439786065, -878.0624395706803, -851.6863635679829, -844.8268318709527, -882.5386095177963, -909.0113381088015, -913.6605151238566, -889.6173215484682, -810.7994210667177, -849.4784636899155]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.10146593106263639,1.4855446427062653,0.07209070082725973,0.5339622378408879,0.0,4518.921,885.167,0.077,51781530.864,8490.907,471.092,2.508,4000,4000,4000,4000,14.921052631578947,17.868421052631575,0.0,0.20000000000000004,5.0000000000000016e-05,72726.64716481855,-0.04968634152043891,72726.69385500671,[-0.00255047],0.015142988291505932,4.143913179315547,0.0
-800.2487539031463,-919.4357992027384,-872.6403075945234,200.0,20,2,8000,8000,False,40,2,1d5803f9e43a4e4684cf6c920c3b966a,2021-09-17_15-35-47,1631918147,12.792599439620972,25.81165909767151,18973,028b450fc55a,172.17.0.2,25.81165909767151,0,2,85d1a_00000,"[-876.5318071961119, -844.1477053513357, -851.7621222598242, -882.6943690687582, -902.8118263982929, -889.5163551401363, -839.3458513218301, -892.2075896124853, -835.8966810463247, -899.1502444130789, -894.0762439786065, -878.0624395706803, -851.6863635679829, -844.8268318709527, -882.5386095177963, -909.0113381088015, -913.6605151238566, -889.6173215484682, -810.7994210667177, -849.4784636899155, -877.9017384670916, -898.4760594460904, -882.2375054192939, -862.2093362663438, -918.5639632942979, -888.5854122690411, -879.2353476328113, -876.5884593548593, -869.0356361577457, -900.1279882824788, -873.0204474214421, -825.9192324414109, -897.7723209977745, -880.4575114971537, -811.0925010760825, -878.1067857650776, -892.2568454146973, -836.5185596194036, -800.2487539031463, -919.4357992027384]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.09958276332242524,1.4663001286141166,0.0712030480869517,0.5286610475110274,0.0,4385.765,912.042,0.064,62601552.239,8510.267,470.021,2.565,8000,8000,8000,8000,15.055555555555559,17.944444444444443,0.0,0.20000000000000004,5.0000000000000016e-05,69074.0651923723,-0.05331412869836054,69074.11551159274,[-0.00608269],0.014557141777840708,4.117907521545246,0.0
-794.5873699295489,-919.4357992027384,-871.7601045179476,200.0,20,2,12000,12000,False,60,3,1d5803f9e43a4e4684cf6c920c3b966a,2021-09-17_15-35-59,1631918159,12.81495475769043,38.62661385536194,18973,028b450fc55a,172.17.0.2,38.62661385536194,0,3,85d1a_00000,"[-876.5318071961119, -844.1477053513357, -851.7621222598242, -882.6943690687582, -902.8118263982929, -889.5163551401363, -839.3458513218301, -892.2075896124853, -835.8966810463247, -899.1502444130789, -894.0762439786065, -878.0624395706803, -851.6863635679829, -844.8268318709527, -882.5386095177963, -909.0113381088015, -913.6605151238566, -889.6173215484682, -810.7994210667177, -849.4784636899155, -877.9017384670916, -898.4760594460904, -882.2375054192939, -862.2093362663438, -918.5639632942979, -888.5854122690411, -879.2353476328113, -876.5884593548593, -869.0356361577457, -900.1279882824788, -873.0204474214421, -825.9192324414109, -897.7723209977745, -880.4575114971537, -811.0925010760825, -878.1067857650776, -892.2568454146973, -836.5185596194036, -800.2487539031463, -919.4357992027384, -896.468861101172, -831.783772752065, -872.6282600198626, -852.2903988362932, -877.9091348236259, -860.0703945113731, -906.8459254090138, -891.555561770289, -883.7533770256047, -874.6994749352496, -855.096129201718, -862.435912956519, -900.6661160193904, -886.7881708299245, -851.4117623591089, -906.7301662876127, -851.3255567190346, -794.5873699295489, -887.8077741450008, -855.1398476635117]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.09862924824854202,1.4571011407815113,0.07072521737035092,0.5251965056990893,0.0,4353.915,918.713,0.061,65707112.272,8511.314,469.963,2.69,12000,12000,12000,12000,14.721052631578948,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,63840.94689810148,-0.05379152038204734,63840.99797127016,[-0.0275313],0.013882904151874114,4.097495594332295,0.0
-794.5873699295489,-919.4357992027384,-874.3769963455852,200.0,20,2,16000,16000,False,80,4,1d5803f9e43a4e4684cf6c920c3b966a,2021-09-17_15-36-13,1631918173,13.19147276878357,51.81808662414551,18973,028b450fc55a,172.17.0.2,51.81808662414551,0,4,85d1a_00000,"[-876.5318071961119, -844.1477053513357, -851.7621222598242, -882.6943690687582, -902.8118263982929, -889.5163551401363, -839.3458513218301, -892.2075896124853, -835.8966810463247, -899.1502444130789, -894.0762439786065, -878.0624395706803, -851.6863635679829, -844.8268318709527, -882.5386095177963, -909.0113381088015, -913.6605151238566, -889.6173215484682, -810.7994210667177, -849.4784636899155, -877.9017384670916, -898.4760594460904, -882.2375054192939, -862.2093362663438, -918.5639632942979, -888.5854122690411, -879.2353476328113, -876.5884593548593, -869.0356361577457, -900.1279882824788, -873.0204474214421, -825.9192324414109, -897.7723209977745, -880.4575114971537, -811.0925010760825, -878.1067857650776, -892.2568454146973, -836.5185596194036, -800.2487539031463, -919.4357992027384, -896.468861101172, -831.783772752065, -872.6282600198626, -852.2903988362932, -877.9091348236259, -860.0703945113731, -906.8459254090138, -891.555561770289, -883.7533770256047, -874.6994749352496, -855.096129201718, -862.435912956519, -900.6661160193904, -886.7881708299245, -851.4117623591089, -906.7301662876127, -851.3255567190346, -794.5873699295489, -887.8077741450008, -855.1398476635117, -910.922479653203, -895.3408950212298, -880.2032403417683, -876.1217445449519, -858.6832157234165, -878.2994951539014, -893.3158533715435, -891.5531069663815, -902.5772575637918, -902.4436551376222, -906.7104639667276, -877.8204743796448, -883.5705187972229, -861.1299982560105, -867.3122943943534, -903.1079889441686, -857.0688325126821, -842.6841720837483, -867.4680539453151, -888.2196958122779]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.09808415677225184,1.4513249681843745,0.07045923404554687,0.5233368439785752,0.0,4341.225,921.399,0.059,68061728.195,8603.071,464.95,2.572,16000,16000,16000,16000,14.25263157894737,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,61390.02717573925,-0.056373607394315545,61390.080617859545,[-0.02180297],0.01502370962282656,4.0705871951195505,0.0
-794.5873699295489,-920.0330339023043,-877.4421059746015,200.0,20,2,20000,20000,False,100,5,1d5803f9e43a4e4684cf6c920c3b966a,2021-09-17_15-36-26,1631918186,12.736055612564087,64.5541422367096,18973,028b450fc55a,172.17.0.2,64.5541422367096,0,5,85d1a_00000,"[-876.5318071961119, -844.1477053513357, -851.7621222598242, -882.6943690687582, -902.8118263982929, -889.5163551401363, -839.3458513218301, -892.2075896124853, -835.8966810463247, -899.1502444130789, -894.0762439786065, -878.0624395706803, -851.6863635679829, -844.8268318709527, -882.5386095177963, -909.0113381088015, -913.6605151238566, -889.6173215484682, -810.7994210667177, -849.4784636899155, -877.9017384670916, -898.4760594460904, -882.2375054192939, -862.2093362663438, -918.5639632942979, -888.5854122690411, -879.2353476328113, -876.5884593548593, -869.0356361577457, -900.1279882824788, -873.0204474214421, -825.9192324414109, -897.7723209977745, -880.4575114971537, -811.0925010760825, -878.1067857650776, -892.2568454146973, -836.5185596194036, -800.2487539031463, -919.4357992027384, -896.468861101172, -831.783772752065, -872.6282600198626, -852.2903988362932, -877.9091348236259, -860.0703945113731, -906.8459254090138, -891.555561770289, -883.7533770256047, -874.6994749352496, -855.096129201718, -862.435912956519, -900.6661160193904, -886.7881708299245, -851.4117623591089, -906.7301662876127, -851.3255567190346, -794.5873699295489, -887.8077741450008, -855.1398476635117, -910.922479653203, -895.3408950212298, -880.2032403417683, -876.1217445449519, -858.6832157234165, -878.2994951539014, -893.3158533715435, -891.5531069663815, -902.5772575637918, -902.4436551376222, -906.7104639667276, -877.8204743796448, -883.5705187972229, -861.1299982560105, -867.3122943943534, -903.1079889441686, -857.0688325126821, -842.6841720837483, -867.4680539453151, -888.2196958122779, -885.3486537032453, -881.6846169141246, -899.881081538815, -872.0156368194356, -909.7421752345371, -876.0823399031817, -883.7804757030239, -887.385405529491, -869.5466652172378, -897.9453280657139, -877.6868719534748, -871.9171252150118, -899.9377336975622, -890.3777121555308, -909.287798333792, -897.9059234239442, -895.5902565688007, -891.9853267423343, -875.9167291917777, -920.0330339023043]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.09766294852287992,1.4461999819510254,0.07020954178212185,0.5216361110449087,0.0,4314.85,927.031,0.063,63937560.976,8586.092,465.87,2.519,20000,20000,20000,20000,14.666666666666666,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,57269.90528183804,-0.056815081411191536,57269.959015877015,[-0.01791512],0.014901110677171349,4.033448667680063,0.0
-794.5873699295489,-920.0330339023043,-876.2487823955785,200.0,20,2,24000,24000,False,120,6,1d5803f9e43a4e4684cf6c920c3b966a,2021-09-17_15-36-39,1631918199,13.256761074066162,77.81090331077576,18973,028b450fc55a,172.17.0.2,77.81090331077576,0,6,85d1a_00000,"[-877.9017384670916, -898.4760594460904, -882.2375054192939, -862.2093362663438, -918.5639632942979, -888.5854122690411, -879.2353476328113, -876.5884593548593, -869.0356361577457, -900.1279882824788, -873.0204474214421, -825.9192324414109, -897.7723209977745, -880.4575114971537, -811.0925010760825, -878.1067857650776, -892.2568454146973, -836.5185596194036, -800.2487539031463, -919.4357992027384, -896.468861101172, -831.783772752065, -872.6282600198626, -852.2903988362932, -877.9091348236259, -860.0703945113731, -906.8459254090138, -891.555561770289, -883.7533770256047, -874.6994749352496, -855.096129201718, -862.435912956519, -900.6661160193904, -886.7881708299245, -851.4117623591089, -906.7301662876127, -851.3255567190346, -794.5873699295489, -887.8077741450008, -855.1398476635117, -910.922479653203, -895.3408950212298, -880.2032403417683, -876.1217445449519, -858.6832157234165, -878.2994951539014, -893.3158533715435, -891.5531069663815, -902.5772575637918, -902.4436551376222, -906.7104639667276, -877.8204743796448, -883.5705187972229, -861.1299982560105, -867.3122943943534, -903.1079889441686, -857.0688325126821, -842.6841720837483, -867.4680539453151, -888.2196958122779, -885.3486537032453, -881.6846169141246, -899.881081538815, -872.0156368194356, -909.7421752345371, -876.0823399031817, -883.7804757030239, -887.385405529491, -869.5466652172378, -897.9453280657139, -877.6868719534748, -871.9171252150118, -899.9377336975622, -890.3777121555308, -909.287798333792, -897.9059234239442, -895.5902565688007, -891.9853267423343, -875.9167291917777, -920.0330339023043, -828.324155528327, -868.5073595812768, -889.6518165824222, -849.0536402704977, -863.3846991323819, -832.7412185127881, -885.0001847634596, -877.4350556019962, -886.1164406668435, -835.2871084375971, -891.8049233178598, -876.6648138344907, -865.3469554951121, -872.5642115045808, -903.3696564560895, -869.6630201264304, -843.3602160668531, -871.6579125069982, -887.7382202341134, -820.8181333295182]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.09658805598978758,1.434762573778019,0.06962917939325532,0.5179314904104951,0.0,4318.105,926.332,0.062,64818606.568,8640.45,462.939,2.438,24000,24000,24000,24000,14.45263157894737,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,50893.63421748992,-0.056403863638819704,50893.6875609039,[-0.02923085],0.014646620438539272,4.009055810077216,0.0
-794.5873699295489,-920.0330339023043,-878.5866659810632,200.0,20,2,28000,28000,False,140,7,1d5803f9e43a4e4684cf6c920c3b966a,2021-09-17_15-36-52,1631918212,13.123775243759155,90.93467855453491,18973,028b450fc55a,172.17.0.2,90.93467855453491,0,7,85d1a_00000,"[-896.468861101172, -831.783772752065, -872.6282600198626, -852.2903988362932, -877.9091348236259, -860.0703945113731, -906.8459254090138, -891.555561770289, -883.7533770256047, -874.6994749352496, -855.096129201718, -862.435912956519, -900.6661160193904, -886.7881708299245, -851.4117623591089, -906.7301662876127, -851.3255567190346, -794.5873699295489, -887.8077741450008, -855.1398476635117, -910.922479653203, -895.3408950212298, -880.2032403417683, -876.1217445449519, -858.6832157234165, -878.2994951539014, -893.3158533715435, -891.5531069663815, -902.5772575637918, -902.4436551376222, -906.7104639667276, -877.8204743796448, -883.5705187972229, -861.1299982560105, -867.3122943943534, -903.1079889441686, -857.0688325126821, -842.6841720837483, -867.4680539453151, -888.2196958122779, -885.3486537032453, -881.6846169141246, -899.881081538815, -872.0156368194356, -909.7421752345371, -876.0823399031817, -883.7804757030239, -887.385405529491, -869.5466652172378, -897.9453280657139, -877.6868719534748, -871.9171252150118, -899.9377336975622, -890.3777121555308, -909.287798333792, -897.9059234239442, -895.5902565688007, -891.9853267423343, -875.9167291917777, -920.0330339023043, -828.324155528327, -868.5073595812768, -889.6518165824222, -849.0536402704977, -863.3846991323819, -832.7412185127881, -885.0001847634596, -877.4350556019962, -886.1164406668435, -835.2871084375971, -891.8049233178598, -876.6648138344907, -865.3469554951121, -872.5642115045808, -903.3696564560895, -869.6630201264304, -843.3602160668531, -871.6579125069982, -887.7382202341134, -820.8181333295182, -844.765865892181, -884.7194107184448, -875.0750425524553, -900.0984348011515, -897.72551999947, -886.1853987899403, -882.2227446510361, -838.4592546451324, -868.3201875328709, -913.633416446437, -890.8173282880182, -894.5626611093986, -872.7717136064743, -853.5304060054043, -905.5498618689468, -867.1023374885522, -898.7155698332193, -917.5813098170836, -908.4116486053277, -901.3304498259367]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.09623832927474116,1.4305961626297279,0.06939025526786317,0.5161781630605451,0.0,4309.59,928.162,0.06,66200965.051,8671.201,461.297,2.399,28000,28000,28000,28000,14.042105263157895,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,49005.97398983535,-0.06189300868840467,49006.03291750672,[-0.02830161],0.015059748849735516,3.97912752474508,0.0
-786.1485458435292,-920.0330339023043,-879.2002320909087,200.0,20,2,32000,32000,False,160,8,1d5803f9e43a4e4684cf6c920c3b966a,2021-09-17_15-37-05,1631918225,12.997470140457153,103.93214869499207,18973,028b450fc55a,172.17.0.2,103.93214869499207,0,8,85d1a_00000,"[-910.922479653203, -895.3408950212298, -880.2032403417683, -876.1217445449519, -858.6832157234165, -878.2994951539014, -893.3158533715435, -891.5531069663815, -902.5772575637918, -902.4436551376222, -906.7104639667276, -877.8204743796448, -883.5705187972229, -861.1299982560105, -867.3122943943534, -903.1079889441686, -857.0688325126821, -842.6841720837483, -867.4680539453151, -888.2196958122779, -885.3486537032453, -881.6846169141246, -899.881081538815, -872.0156368194356, -909.7421752345371, -876.0823399031817, -883.7804757030239, -887.385405529491, -869.5466652172378, -897.9453280657139, -877.6868719534748, -871.9171252150118, -899.9377336975622, -890.3777121555308, -909.287798333792, -897.9059234239442, -895.5902565688007, -891.9853267423343, -875.9167291917777, -920.0330339023043, -828.324155528327, -868.5073595812768, -889.6518165824222, -849.0536402704977, -863.3846991323819, -832.7412185127881, -885.0001847634596, -877.4350556019962, -886.1164406668435, -835.2871084375971, -891.8049233178598, -876.6648138344907, -865.3469554951121, -872.5642115045808, -903.3696564560895, -869.6630201264304, -843.3602160668531, -871.6579125069982, -887.7382202341134, -820.8181333295182, -844.765865892181, -884.7194107184448, -875.0750425524553, -900.0984348011515, -897.72551999947, -886.1853987899403, -882.2227446510361, -838.4592546451324, -868.3201875328709, -913.633416446437, -890.8173282880182, -894.5626611093986, -872.7717136064743, -853.5304060054043, -905.5498618689468, -867.1023374885522, -898.7155698332193, -917.5813098170836, -908.4116486053277, -901.3304498259367, -883.9904326088256, -851.0491284388565, -786.1485458435292, -873.4182041082527, -882.8175245466947, -854.1626995819038, -871.3045020145846, -831.8767789608831, -866.3031380275102, -908.8832730230504, -885.6546674095634, -888.0694416569221, -870.6801686375994, -912.3915502612093, -882.3261978080877, -870.7343659924385, -909.564854346574, -888.7682704974235, -856.8582798190896, -886.3485546974372]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.09609526363624175,1.428350266162945,0.06926146877967086,0.5155713490665377,0.0,4311.335,927.787,0.06,66808226.979,8670.215,461.35,2.475,32000,32000,32000,32000,14.211111111111112,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,43880.91948084677,-0.06102674371332571,43880.9772702453,[-0.03578134],0.01594141435033101,3.9359099623977496,0.0
-786.1485458435292,-920.0330339023043,-877.1867248230142,200.0,20,2,36000,36000,False,180,9,1d5803f9e43a4e4684cf6c920c3b966a,2021-09-17_15-37-18,1631918238,12.967126607894897,116.89927530288696,18973,028b450fc55a,172.17.0.2,116.89927530288696,0,9,85d1a_00000,"[-885.3486537032453, -881.6846169141246, -899.881081538815, -872.0156368194356, -909.7421752345371, -876.0823399031817, -883.7804757030239, -887.385405529491, -869.5466652172378, -897.9453280657139, -877.6868719534748, -871.9171252150118, -899.9377336975622, -890.3777121555308, -909.287798333792, -897.9059234239442, -895.5902565688007, -891.9853267423343, -875.9167291917777, -920.0330339023043, -828.324155528327, -868.5073595812768, -889.6518165824222, -849.0536402704977, -863.3846991323819, -832.7412185127881, -885.0001847634596, -877.4350556019962, -886.1164406668435, -835.2871084375971, -891.8049233178598, -876.6648138344907, -865.3469554951121, -872.5642115045808, -903.3696564560895, -869.6630201264304, -843.3602160668531, -871.6579125069982, -887.7382202341134, -820.8181333295182, -844.765865892181, -884.7194107184448, -875.0750425524553, -900.0984348011515, -897.72551999947, -886.1853987899403, -882.2227446510361, -838.4592546451324, -868.3201875328709, -913.633416446437, -890.8173282880182, -894.5626611093986, -872.7717136064743, -853.5304060054043, -905.5498618689468, -867.1023374885522, -898.7155698332193, -917.5813098170836, -908.4116486053277, -901.3304498259367, -883.9904326088256, -851.0491284388565, -786.1485458435292, -873.4182041082527, -882.8175245466947, -854.1626995819038, -871.3045020145846, -831.8767789608831, -866.3031380275102, -908.8832730230504, -885.6546674095634, -888.0694416569221, -870.6801686375994, -912.3915502612093, -882.3261978080877, -870.7343659924385, -909.564854346574, -888.7682704974235, -856.8582798190896, -886.3485546974372, -873.4871622313497, -893.5676697230222, -841.4811147524986, -877.8992836631835, -816.7126213917933, -894.7085694999179, -894.0269881763943, -893.4371498333629, -843.7702787180139, -904.5302585538706, -839.3242899848289, -894.7184206603604, -887.1557463028048, -852.4935551733505, -864.1740474329813, -902.6092658490265, -881.9733831034654, -865.6899190392925, -864.5299127293023, -856.9130729617195]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.09598234869761747,1.4271403194132903,0.06915492007361974,0.515065010353674,0.0,4312.132,927.615,0.059,67529044.723,8666.777,461.533,2.392,36000,36000,36000,36000,15.378947368421052,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,40756.65873865927,-0.06230963534244927,40756.71778393817,[-0.08807777],0.01583330486118879,3.9364020709068543,0.0
-786.1485458435292,-917.5813098170836,-874.2941359888982,200.0,20,2,40000,40000,True,200,10,1d5803f9e43a4e4684cf6c920c3b966a,2021-09-17_15-37-31,1631918251,13.17230772972107,130.07158303260803,18973,028b450fc55a,172.17.0.2,130.07158303260803,0,10,85d1a_00000,"[-828.324155528327, -868.5073595812768, -889.6518165824222, -849.0536402704977, -863.3846991323819, -832.7412185127881, -885.0001847634596, -877.4350556019962, -886.1164406668435, -835.2871084375971, -891.8049233178598, -876.6648138344907, -865.3469554951121, -872.5642115045808, -903.3696564560895, -869.6630201264304, -843.3602160668531, -871.6579125069982, -887.7382202341134, -820.8181333295182, -844.765865892181, -884.7194107184448, -875.0750425524553, -900.0984348011515, -897.72551999947, -886.1853987899403, -882.2227446510361, -838.4592546451324, -868.3201875328709, -913.633416446437, -890.8173282880182, -894.5626611093986, -872.7717136064743, -853.5304060054043, -905.5498618689468, -867.1023374885522, -898.7155698332193, -917.5813098170836, -908.4116486053277, -901.3304498259367, -883.9904326088256, -851.0491284388565, -786.1485458435292, -873.4182041082527, -882.8175245466947, -854.1626995819038, -871.3045020145846, -831.8767789608831, -866.3031380275102, -908.8832730230504, -885.6546674095634, -888.0694416569221, -870.6801686375994, -912.3915502612093, -882.3261978080877, -870.7343659924385, -909.564854346574, -888.7682704974235, -856.8582798190896, -886.3485546974372, -873.4871622313497, -893.5676697230222, -841.4811147524986, -877.8992836631835, -816.7126213917933, -894.7085694999179, -894.0269881763943, -893.4371498333629, -843.7702787180139, -904.5302585538706, -839.3242899848289, -894.7184206603604, -887.1557463028048, -852.4935551733505, -864.1740474329813, -902.6092658490265, -881.9733831034654, -865.6899190392925, -864.5299127293023, -856.9130729617195, -882.2399921680134, -893.3601995659402, -893.9358729285052, -840.1019281088691, -864.1765022368891, -882.1168366900772, -881.0719937136976, -851.6857358353795, -874.988241124591, -889.328555359127, -851.6808262275649, -877.0699349330242, -877.7909208983169, -863.8877360475486, -914.1025860602517, -869.4555180245362, -896.9774353567573, -829.128892329787, -895.3014903794601, -876.3908084134077]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.09596399749142578,1.4278784510308993,0.06914186681083209,0.5151363007794388,0.0,4316.619,926.651,0.059,67731998.385,8680.619,460.797,2.338,40000,40000,40000,40000,14.226315789473682,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,37110.98433509745,-0.06598521622839154,37111.046992607524,[-0.05267461],0.016792490243795113,3.8976835173945275,0.0
