episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-829.9391345268524,-911.7001177772432,-882.3098670658604,200.0,20,2,4000,4000,False,20,1,3aaf2dc380294a059279f7d13db37df4,2021-09-17_17-16-33,1631924193,14.617865562438965,14.617865562438965,20683,028b450fc55a,172.17.0.2,14.617865562438965,0,1,9fc02_00000,"[-909.961983300781, -903.9625773356314, -883.8075743804438, -839.5213131936763, -911.7001177772432, -884.7582195724234, -829.9391345268524, -880.7709215600072, -882.5884611077996, -875.8403747121463, -880.2426449835377, -899.0492780047477, -879.5684600165491, -846.024351861783, -883.0570349338233, -898.1281862940957, -897.246499225213, -902.1105427538843, -903.520506399236, -854.3991593773338]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.11257479513722143,1.69922035375516,0.0818221346251313,0.5879692885948383,0.0,5069.493,789.034,0.06,67108864.0,9538.369,419.359,2.145,4000,4000,4000,4000,14.752380952380955,17.923809523809524,0.0,0.20000000000000004,5.0000000000000016e-05,75095.28156502017,-0.04409194440150293,75095.32305527554,[-0.00487627],0.013505981550345067,4.145594088236491,0.0
-776.5731677454501,-916.5543101454724,-882.7253446384744,200.0,20,2,8000,8000,False,40,2,3aaf2dc380294a059279f7d13db37df4,2021-09-17_17-16-48,1631924208,14.301334857940674,28.91920042037964,20683,028b450fc55a,172.17.0.2,28.91920042037964,0,2,9fc02_00000,"[-909.961983300781, -903.9625773356314, -883.8075743804438, -839.5213131936763, -911.7001177772432, -884.7582195724234, -829.9391345268524, -880.7709215600072, -882.5884611077996, -875.8403747121463, -880.2426449835377, -899.0492780047477, -879.5684600165491, -846.024351861783, -883.0570349338233, -898.1281862940957, -897.246499225213, -902.1105427538843, -903.520506399236, -854.3991593773338, -913.151940868272, -899.9549812145394, -882.5189071969111, -881.8939780321351, -776.5731677454501, -870.2972046638583, -908.9793298235667, -914.1690893794411, -892.9852277365255, -888.6445192316954, -888.1685809939495, -896.4984145824994, -916.5543101454724, -891.6171235368512, -854.3646643433794, -872.4380054349458, -885.1953489561915, -905.367003640565, -849.7155192731359, -873.7291274223859]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.11004983372005564,1.6610994083132744,0.0798407215052339,0.579744879172134,0.0,4872.163,820.991,0.059,68338965.377,9578.126,417.618,2.206,8000,8000,8000,8000,14.523809523809524,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,69348.79914314517,-0.0542434875502862,69348.85074344758,[-0.00598737],0.014074062665165829,4.122644443409417,0.0
-776.5731677454501,-916.5543101454724,-879.5674795061659,200.0,20,2,12000,12000,False,60,3,3aaf2dc380294a059279f7d13db37df4,2021-09-17_17-17-01,1631924221,13.722586870193481,42.64178729057312,20683,028b450fc55a,172.17.0.2,42.64178729057312,0,3,9fc02_00000,"[-909.961983300781, -903.9625773356314, -883.8075743804438, -839.5213131936763, -911.7001177772432, -884.7582195724234, -829.9391345268524, -880.7709215600072, -882.5884611077996, -875.8403747121463, -880.2426449835377, -899.0492780047477, -879.5684600165491, -846.024351861783, -883.0570349338233, -898.1281862940957, -897.246499225213, -902.1105427538843, -903.520506399236, -854.3991593773338, -913.151940868272, -899.9549812145394, -882.5189071969111, -881.8939780321351, -776.5731677454501, -870.2972046638583, -908.9793298235667, -914.1690893794411, -892.9852277365255, -888.6445192316954, -888.1685809939495, -896.4984145824994, -916.5543101454724, -891.6171235368512, -854.3646643433794, -872.4380054349458, -885.1953489561915, -905.367003640565, -849.7155192731359, -873.7291274223859, -910.2507494901214, -858.4486149441027, -830.4058493367603, -880.9931844301585, -800.5202725755089, -891.523553485054, -888.1605888496237, -900.2911441899756, -871.564310510389, -879.3486519503053, -852.7029162913611, -882.5386095177965, -854.5204558391532, -864.8580835604129, -882.4327015568373, -911.9420829682794, -868.2924930676601, -880.8768295209661, -873.5512107466312, -881.8126819998754]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.10871747037846881,1.6383475176675735,0.07867053401438544,0.5740402717405163,0.0,4788.638,835.311,0.06,67198461.949,9415.563,424.829,2.142,12000,12000,12000,12000,14.810526315789476,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,64958.32809139785,-0.05601841145876034,64958.38103998656,[-0.0182599],0.014835425933141678,4.099749693306544,0.0
-776.5731677454501,-916.5543101454724,-879.5760421037976,200.0,20,2,16000,16000,False,80,4,3aaf2dc380294a059279f7d13db37df4,2021-09-17_17-17-15,1631924235,13.349464178085327,55.99125146865845,20683,028b450fc55a,172.17.0.2,55.99125146865845,0,4,9fc02_00000,"[-909.961983300781, -903.9625773356314, -883.8075743804438, -839.5213131936763, -911.7001177772432, -884.7582195724234, -829.9391345268524, -880.7709215600072, -882.5884611077996, -875.8403747121463, -880.2426449835377, -899.0492780047477, -879.5684600165491, -846.024351861783, -883.0570349338233, -898.1281862940957, -897.246499225213, -902.1105427538843, -903.520506399236, -854.3991593773338, -913.151940868272, -899.9549812145394, -882.5189071969111, -881.8939780321351, -776.5731677454501, -870.2972046638583, -908.9793298235667, -914.1690893794411, -892.9852277365255, -888.6445192316954, -888.1685809939495, -896.4984145824994, -916.5543101454724, -891.6171235368512, -854.3646643433794, -872.4380054349458, -885.1953489561915, -905.367003640565, -849.7155192731359, -873.7291274223859, -910.2507494901214, -858.4486149441027, -830.4058493367603, -880.9931844301585, -800.5202725755089, -891.523553485054, -888.1605888496237, -900.2911441899756, -871.564310510389, -879.3486519503053, -852.7029162913611, -882.5386095177965, -854.5204558391532, -864.8580835604129, -882.4327015568373, -911.9420829682794, -868.2924930676601, -880.8768295209661, -873.5512107466312, -881.8126819998754, -873.4502123934877, -906.7917280541735, -860.6633153909152, -880.5314111728783, -880.9069787900843, -897.5254142541111, -855.4415475498057, -905.5203083876197, -867.3295099665185, -895.533008622263, -852.0760961656556, -911.2481956804056, -795.6623621750473, -888.6913202300004, -901.2023847401855, -888.4321075219872, -908.0385357920296, -826.383460502598, -899.8613792179301, -896.7453213261634]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.1075148849412337,1.619703908876636,0.07773309954533894,0.5690487350137376,0.0,4702.093,850.685,0.058,68829604.103,9286.075,430.752,2.19,16000,16000,16000,16000,14.66,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,60446.89265582997,-0.05701516588589036,60446.94656418011,[-0.02011093],0.014630494379831601,4.080705430943479,0.0
-776.5731677454501,-916.5543101454724,-876.9285129712549,200.0,20,2,20000,20000,False,100,5,3aaf2dc380294a059279f7d13db37df4,2021-09-17_17-17-28,1631924248,13.234179019927979,69.22543048858643,20683,028b450fc55a,172.17.0.2,69.22543048858643,0,5,9fc02_00000,"[-909.961983300781, -903.9625773356314, -883.8075743804438, -839.5213131936763, -911.7001177772432, -884.7582195724234, -829.9391345268524, -880.7709215600072, -882.5884611077996, -875.8403747121463, -880.2426449835377, -899.0492780047477, -879.5684600165491, -846.024351861783, -883.0570349338233, -898.1281862940957, -897.246499225213, -902.1105427538843, -903.520506399236, -854.3991593773338, -913.151940868272, -899.9549812145394, -882.5189071969111, -881.8939780321351, -776.5731677454501, -870.2972046638583, -908.9793298235667, -914.1690893794411, -892.9852277365255, -888.6445192316954, -888.1685809939495, -896.4984145824994, -916.5543101454724, -891.6171235368512, -854.3646643433794, -872.4380054349458, -885.1953489561915, -905.367003640565, -849.7155192731359, -873.7291274223859, -910.2507494901214, -858.4486149441027, -830.4058493367603, -880.9931844301585, -800.5202725755089, -891.523553485054, -888.1605888496237, -900.2911441899756, -871.564310510389, -879.3486519503053, -852.7029162913611, -882.5386095177965, -854.5204558391532, -864.8580835604129, -882.4327015568373, -911.9420829682794, -868.2924930676601, -880.8768295209661, -873.5512107466312, -881.8126819998754, -873.4502123934877, -906.7917280541735, -860.6633153909152, -880.5314111728783, -880.9069787900843, -897.5254142541111, -855.4415475498057, -905.5203083876197, -867.3295099665185, -895.533008622263, -852.0760961656556, -911.2481956804056, -795.6623621750473, -888.6913202300004, -901.2023847401855, -888.4321075219872, -908.0385357920296, -826.383460502598, -899.8613792179301, -896.7453213261634, -877.3759486393415, -904.5401097143131, -848.7156182789447, -854.1276407049698, -895.0539878480051, -802.4388104764448, -875.6008643250176, -839.8741278982985, -888.8520213335896, -840.7878232524165, -857.5571086595903, -912.6901676109923, -860.9151317423936, -790.8518882686116, -877.954076805814, -887.1040356966853, -857.0337416909352, -899.2192025361759, -864.9048845587176, -891.1707387804316]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.10655161728771756,1.6051251843457495,0.07703185646104592,0.5651259752338986,0.0,4653.661,859.538,0.058,68702768.223,9181.898,435.64,2.214,20000,20000,20000,20000,14.805263157894737,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,54577.994529149866,-0.05869995192374273,54578.050130208336,[-0.02180018],0.015532715581324,4.052668764770672,0.0
-776.5731677454501,-918.5442609734131,-875.0371374882666,200.0,20,2,24000,24000,False,120,6,3aaf2dc380294a059279f7d13db37df4,2021-09-17_17-17-42,1631924262,13.680400609970093,82.90583109855652,20683,028b450fc55a,172.17.0.2,82.90583109855652,0,6,9fc02_00000,"[-913.151940868272, -899.9549812145394, -882.5189071969111, -881.8939780321351, -776.5731677454501, -870.2972046638583, -908.9793298235667, -914.1690893794411, -892.9852277365255, -888.6445192316954, -888.1685809939495, -896.4984145824994, -916.5543101454724, -891.6171235368512, -854.3646643433794, -872.4380054349458, -885.1953489561915, -905.367003640565, -849.7155192731359, -873.7291274223859, -910.2507494901214, -858.4486149441027, -830.4058493367603, -880.9931844301585, -800.5202725755089, -891.523553485054, -888.1605888496237, -900.2911441899756, -871.564310510389, -879.3486519503053, -852.7029162913611, -882.5386095177965, -854.5204558391532, -864.8580835604129, -882.4327015568373, -911.9420829682794, -868.2924930676601, -880.8768295209661, -873.5512107466312, -881.8126819998754, -873.4502123934877, -906.7917280541735, -860.6633153909152, -880.5314111728783, -880.9069787900843, -897.5254142541111, -855.4415475498057, -905.5203083876197, -867.3295099665185, -895.533008622263, -852.0760961656556, -911.2481956804056, -795.6623621750473, -888.6913202300004, -901.2023847401855, -888.4321075219872, -908.0385357920296, -826.383460502598, -899.8613792179301, -896.7453213261634, -877.3759486393415, -904.5401097143131, -848.7156182789447, -854.1276407049698, -895.0539878480051, -802.4388104764448, -875.6008643250176, -839.8741278982985, -888.8520213335896, -840.7878232524165, -857.5571086595903, -912.6901676109923, -860.9151317423936, -790.8518882686116, -877.954076805814, -887.1040356966853, -857.0337416909352, -899.2192025361759, -864.9048845587176, -891.1707387804316, -837.6372703266948, -914.5249546757619, -901.8882798837334, -817.9957831797188, -868.2949478715677, -866.2655924018571, -856.3915650091815, -879.2747522745809, -889.3236457513119, -918.5442609734131, -851.9203366146928, -858.5970100833424, -862.8829254455412, -860.2163029018917, -898.8393210989465, -882.6623607835239, -888.4887596807338, -880.1262900743453, -874.408253942002, -848.7771800455071]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.10447902204919172,1.5728708129284983,0.07542090868741527,0.5568771179772082,0.0,4630.684,863.803,0.057,69905066.667,9177.077,435.869,2.311,24000,24000,24000,24000,14.505263157894738,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,51234.31930863575,-0.05634778579446657,51234.37274025538,[-0.03521186],0.01403400260646855,4.0249909716267736,0.0
-790.8518882686116,-922.4650556666401,-873.7080816426803,200.0,20,2,28000,28000,False,140,7,3aaf2dc380294a059279f7d13db37df4,2021-09-17_17-17-55,1631924275,13.32411503791809,96.22994613647461,20683,028b450fc55a,172.17.0.2,96.22994613647461,0,7,9fc02_00000,"[-910.2507494901214, -858.4486149441027, -830.4058493367603, -880.9931844301585, -800.5202725755089, -891.523553485054, -888.1605888496237, -900.2911441899756, -871.564310510389, -879.3486519503053, -852.7029162913611, -882.5386095177965, -854.5204558391532, -864.8580835604129, -882.4327015568373, -911.9420829682794, -868.2924930676601, -880.8768295209661, -873.5512107466312, -881.8126819998754, -873.4502123934877, -906.7917280541735, -860.6633153909152, -880.5314111728783, -880.9069787900843, -897.5254142541111, -855.4415475498057, -905.5203083876197, -867.3295099665185, -895.533008622263, -852.0760961656556, -911.2481956804056, -795.6623621750473, -888.6913202300004, -901.2023847401855, -888.4321075219872, -908.0385357920296, -826.383460502598, -899.8613792179301, -896.7453213261634, -877.3759486393415, -904.5401097143131, -848.7156182789447, -854.1276407049698, -895.0539878480051, -802.4388104764448, -875.6008643250176, -839.8741278982985, -888.8520213335896, -840.7878232524165, -857.5571086595903, -912.6901676109923, -860.9151317423936, -790.8518882686116, -877.954076805814, -887.1040356966853, -857.0337416909352, -899.2192025361759, -864.9048845587176, -891.1707387804316, -837.6372703266948, -914.5249546757619, -901.8882798837334, -817.9957831797188, -868.2949478715677, -866.2655924018571, -856.3915650091815, -879.2747522745809, -889.3236457513119, -918.5442609734131, -851.9203366146928, -858.5970100833424, -862.8829254455412, -860.2163029018917, -898.8393210989465, -882.6623607835239, -888.4887596807338, -880.1262900743453, -874.408253942002, -848.7771800455071, -847.0913839077674, -868.517210741719, -829.9286875786196, -883.9140781291935, -871.440559244662, -890.3555550307385, -841.1036881191768, -900.6661160193902, -922.4650556666401, -891.0543838712392, -876.677119798841, -884.1560433202301, -851.6512727462375, -885.8744754758076, -858.2362032343946, -910.7002167830515, -893.2764487297741, -840.3506619238369, -876.4203618947347, -906.0313374471108]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.10345074330522046,1.5556469204572274,0.07457963530060699,0.5516461897503178,0.0,4622.718,865.292,0.056,71132956.996,9114.177,438.877,2.399,28000,28000,28000,28000,14.999999999999996,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,47697.69539860551,-0.062109730711647416,47697.75410576277,[-0.02302907],0.01726447907689429,3.996713872622418,0.0
-787.193388819909,-922.4946091479674,-874.4667375855331,200.0,20,2,32000,32000,False,160,8,3aaf2dc380294a059279f7d13db37df4,2021-09-17_17-18-09,1631924289,13.847953081130981,110.07789921760559,20683,028b450fc55a,172.17.0.2,110.07789921760559,0,8,9fc02_00000,"[-873.4502123934877, -906.7917280541735, -860.6633153909152, -880.5314111728783, -880.9069787900843, -897.5254142541111, -855.4415475498057, -905.5203083876197, -867.3295099665185, -895.533008622263, -852.0760961656556, -911.2481956804056, -795.6623621750473, -888.6913202300004, -901.2023847401855, -888.4321075219872, -908.0385357920296, -826.383460502598, -899.8613792179301, -896.7453213261634, -877.3759486393415, -904.5401097143131, -848.7156182789447, -854.1276407049698, -895.0539878480051, -802.4388104764448, -875.6008643250176, -839.8741278982985, -888.8520213335896, -840.7878232524165, -857.5571086595903, -912.6901676109923, -860.9151317423936, -790.8518882686116, -877.954076805814, -887.1040356966853, -857.0337416909352, -899.2192025361759, -864.9048845587176, -891.1707387804316, -837.6372703266948, -914.5249546757619, -901.8882798837334, -817.9957831797188, -868.2949478715677, -866.2655924018571, -856.3915650091815, -879.2747522745809, -889.3236457513119, -918.5442609734131, -851.9203366146928, -858.5970100833424, -862.8829254455412, -860.2163029018917, -898.8393210989465, -882.6623607835239, -888.4887596807338, -880.1262900743453, -874.408253942002, -848.7771800455071, -847.0913839077674, -868.517210741719, -829.9286875786196, -883.9140781291935, -871.440559244662, -890.3555550307385, -841.1036881191768, -900.6661160193902, -922.4650556666401, -891.0543838712392, -876.677119798841, -884.1560433202301, -851.6512727462375, -885.8744754758076, -858.2362032343946, -910.7002167830515, -893.2764487297741, -840.3506619238369, -876.4203618947347, -906.0313374471108, -884.6670723797212, -788.1754465093318, -910.5075073942274, -872.3936592405489, -884.7877730537506, -897.3702504909403, -882.7436248709699, -857.6457691035715, -854.3671510920989, -859.8481316412217, -873.7685320641556, -787.193388819909, -912.5054503664938, -922.4946091479674, -910.231047169237, -892.8891709360091, -889.8051213294771, -867.5936642271591, -888.82492265617, -903.0882866232838]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.102787666769761,1.5456066030176197,0.07411493612743544,0.5484856783665509,0.0,4638.347,862.376,0.057,70678108.478,9110.913,439.034,2.384,32000,32000,32000,32000,14.495,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,45216.720148689514,-0.06628371300626426,45216.783005712365,[-0.07631982],0.01681586336345673,3.9642239444999285,0.0
-787.193388819909,-922.4946091479674,-872.0500689272528,200.0,20,2,36000,36000,False,180,9,3aaf2dc380294a059279f7d13db37df4,2021-09-17_17-18-23,1631924303,13.759050130844116,123.8369493484497,20683,028b450fc55a,172.17.0.2,123.8369493484497,0,9,9fc02_00000,"[-877.3759486393415, -904.5401097143131, -848.7156182789447, -854.1276407049698, -895.0539878480051, -802.4388104764448, -875.6008643250176, -839.8741278982985, -888.8520213335896, -840.7878232524165, -857.5571086595903, -912.6901676109923, -860.9151317423936, -790.8518882686116, -877.954076805814, -887.1040356966853, -857.0337416909352, -899.2192025361759, -864.9048845587176, -891.1707387804316, -837.6372703266948, -914.5249546757619, -901.8882798837334, -817.9957831797188, -868.2949478715677, -866.2655924018571, -856.3915650091815, -879.2747522745809, -889.3236457513119, -918.5442609734131, -851.9203366146928, -858.5970100833424, -862.8829254455412, -860.2163029018917, -898.8393210989465, -882.6623607835239, -888.4887596807338, -880.1262900743453, -874.408253942002, -848.7771800455071, -847.0913839077674, -868.517210741719, -829.9286875786196, -883.9140781291935, -871.440559244662, -890.3555550307385, -841.1036881191768, -900.6661160193902, -922.4650556666401, -891.0543838712392, -876.677119798841, -884.1560433202301, -851.6512727462375, -885.8744754758076, -858.2362032343946, -910.7002167830515, -893.2764487297741, -840.3506619238369, -876.4203618947347, -906.0313374471108, -884.6670723797212, -788.1754465093318, -910.5075073942274, -872.3936592405489, -884.7877730537506, -897.3702504909403, -882.7436248709699, -857.6457691035715, -854.3671510920989, -859.8481316412217, -873.7685320641556, -787.193388819909, -912.5054503664938, -922.4946091479674, -910.231047169237, -892.8891709360091, -889.8051213294771, -867.5936642271591, -888.82492265617, -903.0882866232838, -794.2394648327412, -873.0327853306045, -878.5611626658224, -910.6928204265168, -890.047086520513, -878.6941693042013, -860.4927631268832, -849.940236947195, -880.193389181326, -837.4445609378711, -889.9307316113205, -837.671733415837, -914.4012034100348, -844.9234844592602, -835.7729297805981, -904.8485782245383, -880.0868854325757, -878.6695254306892, -875.2006528342994, -835.5235682330259]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.10274507737225363,1.5438920741017272,0.07406065401616696,0.5478047207309475,0.0,4673.075,855.967,0.057,69905066.667,9076.126,440.717,2.352,36000,36000,36000,36000,14.76,18.005000000000003,0.0,0.20000000000000004,5.0000000000000016e-05,40732.2037109375,-0.06428656206736641,40732.265032762094,[-0.04704406],0.01566853942610518,3.9391413345131823,0.0
-787.193388819909,-922.4946091479674,-874.1244499430163,200.0,20,2,40000,40000,True,200,10,3aaf2dc380294a059279f7d13db37df4,2021-09-17_17-18-36,1631924316,13.309749126434326,137.14669847488403,20683,028b450fc55a,172.17.0.2,137.14669847488403,0,10,9fc02_00000,"[-837.6372703266948, -914.5249546757619, -901.8882798837334, -817.9957831797188, -868.2949478715677, -866.2655924018571, -856.3915650091815, -879.2747522745809, -889.3236457513119, -918.5442609734131, -851.9203366146928, -858.5970100833424, -862.8829254455412, -860.2163029018917, -898.8393210989465, -882.6623607835239, -888.4887596807338, -880.1262900743453, -874.408253942002, -848.7771800455071, -847.0913839077674, -868.517210741719, -829.9286875786196, -883.9140781291935, -871.440559244662, -890.3555550307385, -841.1036881191768, -900.6661160193902, -922.4650556666401, -891.0543838712392, -876.677119798841, -884.1560433202301, -851.6512727462375, -885.8744754758076, -858.2362032343946, -910.7002167830515, -893.2764487297741, -840.3506619238369, -876.4203618947347, -906.0313374471108, -884.6670723797212, -788.1754465093318, -910.5075073942274, -872.3936592405489, -884.7877730537506, -897.3702504909403, -882.7436248709699, -857.6457691035715, -854.3671510920989, -859.8481316412217, -873.7685320641556, -787.193388819909, -912.5054503664938, -922.4946091479674, -910.231047169237, -892.8891709360091, -889.8051213294771, -867.5936642271591, -888.82492265617, -903.0882866232838, -794.2394648327412, -873.0327853306045, -878.5611626658224, -910.6928204265168, -890.047086520513, -878.6941693042013, -860.4927631268832, -849.940236947195, -880.193389181326, -837.4445609378711, -889.9307316113205, -837.671733415837, -914.4012034100348, -844.9234844592602, -835.7729297805981, -904.8485782245383, -880.0868854325757, -878.6695254306892, -875.2006528342994, -835.5235682330259, -888.3557530423549, -894.8791217639498, -896.9207831980103, -895.6764622088751, -881.0793900702326, -912.2283943537124, -883.2817526078816, -835.5432705539122, -875.7240198029538, -867.5493180327622, -814.2898550001083, -871.2330571427673, -873.2304043272431, -891.1036396734514, -887.5165531517533, -874.9759351602402, -886.4224543731614, -860.7125711931267, -886.0967383459584, -857.3865563955579]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.10288006143183587,1.5448685920496519,0.07411927423244588,0.5478985432806455,0.0,4661.472,858.098,0.06,67055219.824,9042.705,442.346,2.361,40000,40000,40000,40000,14.805263157894737,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,38392.573565608196,-0.06182361646825748,38392.63236517137,[-0.11185757],0.014910708184890743,3.914574767440878,0.0
