episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-800.7154687130527,-926.6647653887653,-869.3553683556669,200.0,20,2,4000,4000,False,20,1,a3a80ffbe1384135b97e1056e4279961,2021-09-16_17-50-41,1631839841,11.680279731750488,11.680279731750488,2690,a057c1642c41,172.17.0.2,11.680279731750488,0,1,3e33d_00000,"[-877.8130780231099, -923.4255520190621, -899.8613792179302, -878.3857007939757, -926.6647653887653, -865.4208551708366, -887.1434403384545, -825.916777637503, -800.7154687130527, -843.1034901075599, -872.805580907826, -884.449751062198, -909.9398261759886, -840.140705018035, -869.102139476935, -853.0020974841228, -861.9519825744474, -847.2372922982871, -882.7707235483898, -837.2567611568606]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.10590562815668583,1.47300371821078,0.0721140541713396,0.6420821442954366,0.0,4712.201,848.86,0.074,53773128.205,6962.053,574.543,1.572,4000,4000,4000,4000,17.08235294117647,17.888235294117646,0.0,0.20000000000000004,5.0000000000000016e-05,72760.5716061828,-0.04485684621638508,72760.61368867608,[-0.00241322],0.013920279109166314,4.145237535045993,0.0
-800.7154687130527,-926.6647653887653,-875.4838531698421,200.0,20,2,8000,8000,False,40,2,a3a80ffbe1384135b97e1056e4279961,2021-09-16_17-50-53,1631839853,11.691967964172363,23.37224769592285,2690,a057c1642c41,172.17.0.2,23.37224769592285,0,2,3e33d_00000,"[-877.8130780231099, -923.4255520190621, -899.8613792179302, -878.3857007939757, -926.6647653887653, -865.4208551708366, -887.1434403384545, -825.916777637503, -800.7154687130527, -843.1034901075599, -872.805580907826, -884.449751062198, -909.9398261759886, -840.140705018035, -869.102139476935, -853.0020974841228, -861.9519825744474, -847.2372922982871, -882.7707235483898, -837.2567611568606, -826.4204103404604, -882.2128934905937, -857.3323590407189, -902.8512310400624, -900.059030159382, -894.1778381195412, -837.4427019217537, -875.349047973539, -897.4983155766906, -911.4409050692298, -892.8713276312407, -892.4076953578439, -920.4258490364875, -850.0116498741995, -881.338602778246, -872.0254879798781, -861.6016226737323, -908.2386415373885, -876.4844104100166, -892.0567396693383]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.1067034067675043,1.4977378201232225,0.0734609006951712,0.6436836511632273,0.0,4823.301,829.308,0.076,52675717.425,6856.62,583.378,1.637,8000,8000,8000,8000,18.93529411764706,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,69001.59780745968,-0.04986187774808176,69001.64509828629,[-0.00383606],0.013066501245850346,4.124592225269605,0.0
-800.7154687130527,-926.6647653887653,-874.3647529677313,200.0,20,2,12000,12000,False,60,3,a3a80ffbe1384135b97e1056e4279961,2021-09-16_17-51-05,1631839865,11.579722166061401,34.95196986198425,2690,a057c1642c41,172.17.0.2,34.95196986198425,0,3,3e33d_00000,"[-877.8130780231099, -923.4255520190621, -899.8613792179302, -878.3857007939757, -926.6647653887653, -865.4208551708366, -887.1434403384545, -825.916777637503, -800.7154687130527, -843.1034901075599, -872.805580907826, -884.449751062198, -909.9398261759886, -840.140705018035, -869.102139476935, -853.0020974841228, -861.9519825744474, -847.2372922982871, -882.7707235483898, -837.2567611568606, -826.4204103404604, -882.2128934905937, -857.3323590407189, -902.8512310400624, -900.059030159382, -894.1778381195412, -837.4427019217537, -875.349047973539, -897.4983155766906, -911.4409050692298, -892.8713276312407, -892.4076953578439, -920.4258490364875, -850.0116498741995, -881.338602778246, -872.0254879798781, -861.6016226737323, -908.2386415373885, -876.4844104100166, -892.0567396693383, -817.731628919078, -868.4008558325263, -854.574621249181, -878.7908218925088, -870.0379919558447, -877.6474673117044, -887.6667753622969, -847.1627968347716, -915.3912532437839, -894.1113348003524, -888.9406817775715, -900.1279882824786, -842.0740356320415, -890.0347805561628, -875.1883468699493, -872.5562193602545, -841.8566823697049, -913.4579545745901, -861.1497005768939, -845.6291138685049]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.10537584580156319,1.4861654891520302,0.07277755176652959,0.6340857269846711,0.0,4614.057,866.916,0.069,58186876.301,7030.273,568.968,1.575,12000,12000,12000,12000,21.6,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,63434.717489919356,-0.05331147364065331,63434.76800655242,[-0.01009123],0.014416037902605944,4.100395986085297,0.0
-778.4430456319656,-926.6647653887653,-875.6688958524643,200.0,20,2,16000,16000,False,80,4,a3a80ffbe1384135b97e1056e4279961,2021-09-16_17-51-16,1631839876,11.435392618179321,46.387362480163574,2690,a057c1642c41,172.17.0.2,46.387362480163574,0,4,3e33d_00000,"[-877.8130780231099, -923.4255520190621, -899.8613792179302, -878.3857007939757, -926.6647653887653, -865.4208551708366, -887.1434403384545, -825.916777637503, -800.7154687130527, -843.1034901075599, -872.805580907826, -884.449751062198, -909.9398261759886, -840.140705018035, -869.102139476935, -853.0020974841228, -861.9519825744474, -847.2372922982871, -882.7707235483898, -837.2567611568606, -826.4204103404604, -882.2128934905937, -857.3323590407189, -902.8512310400624, -900.059030159382, -894.1778381195412, -837.4427019217537, -875.349047973539, -897.4983155766906, -911.4409050692298, -892.8713276312407, -892.4076953578439, -920.4258490364875, -850.0116498741995, -881.338602778246, -872.0254879798781, -861.6016226737323, -908.2386415373885, -876.4844104100166, -892.0567396693383, -817.731628919078, -868.4008558325263, -854.574621249181, -878.7908218925088, -870.0379919558447, -877.6474673117044, -887.6667753622969, -847.1627968347716, -915.3912532437839, -894.1113348003524, -888.9406817775715, -900.1279882824786, -842.0740356320415, -890.0347805561628, -875.1883468699493, -872.5562193602545, -841.8566823697049, -913.4579545745901, -861.1497005768939, -845.6291138685049, -788.4913113760924, -903.1449387820305, -881.5116098461851, -895.1875902741751, -896.4196052989605, -926.6549142283229, -873.9735793621418, -860.3770040054819, -881.7782189107335, -893.1483836440224, -885.4890566981592, -895.2072925950602, -901.6463146926972, -834.9952916565575, -905.0412876133626, -914.5939127988585, -876.9289361503194, -778.4430456319656, -897.6861153577, -900.9080812104264]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.10370639329855749,1.4670060169118944,0.07176326216316795,0.6228710884373292,0.0,4432.97,902.33,0.065,61794534.07,7157.374,558.864,1.584,16000,16000,16000,16000,23.49411764705882,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,61008.52080393145,-0.051634637342004845,61008.569432543685,[-0.02768387],0.012628555972262505,4.085929153811547,0.0
-778.4430456319656,-926.6647653887653,-875.6608682446322,200.0,20,2,20000,20000,False,100,5,a3a80ffbe1384135b97e1056e4279961,2021-09-16_17-51-28,1631839888,11.743526220321655,58.13088870048523,2690,a057c1642c41,172.17.0.2,58.13088870048523,0,5,3e33d_00000,"[-877.8130780231099, -923.4255520190621, -899.8613792179302, -878.3857007939757, -926.6647653887653, -865.4208551708366, -887.1434403384545, -825.916777637503, -800.7154687130527, -843.1034901075599, -872.805580907826, -884.449751062198, -909.9398261759886, -840.140705018035, -869.102139476935, -853.0020974841228, -861.9519825744474, -847.2372922982871, -882.7707235483898, -837.2567611568606, -826.4204103404604, -882.2128934905937, -857.3323590407189, -902.8512310400624, -900.059030159382, -894.1778381195412, -837.4427019217537, -875.349047973539, -897.4983155766906, -911.4409050692298, -892.8713276312407, -892.4076953578439, -920.4258490364875, -850.0116498741995, -881.338602778246, -872.0254879798781, -861.6016226737323, -908.2386415373885, -876.4844104100166, -892.0567396693383, -817.731628919078, -868.4008558325263, -854.574621249181, -878.7908218925088, -870.0379919558447, -877.6474673117044, -887.6667753622969, -847.1627968347716, -915.3912532437839, -894.1113348003524, -888.9406817775715, -900.1279882824786, -842.0740356320415, -890.0347805561628, -875.1883468699493, -872.5562193602545, -841.8566823697049, -913.4579545745901, -861.1497005768939, -845.6291138685049, -788.4913113760924, -903.1449387820305, -881.5116098461851, -895.1875902741751, -896.4196052989605, -926.6549142283229, -873.9735793621418, -860.3770040054819, -881.7782189107335, -893.1483836440224, -885.4890566981592, -895.2072925950602, -901.6463146926972, -834.9952916565575, -905.0412876133626, -914.5939127988585, -876.9289361503194, -778.4430456319656, -897.6861153577, -900.9080812104264, -893.123143982719, -871.2847996936995, -876.938787310762, -898.6367605496798, -856.1822038911718, -862.1200480897588, -891.1430443152209, -867.1047922924589, -870.5712100849414, -899.1970454113839, -910.4607063959227, -848.3504976099721, -879.1214475275267, -815.4775557753092, -897.7433633042381, -863.5195647868771, -892.7063127076276, -894.5355624319787, -858.0582546138274, -866.3000554909999]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.10260425685331719,1.4551875542270034,0.07115206633820001,0.6148968321335773,0.0,4411.817,906.656,0.063,63937560.976,7207.5,554.977,1.618,20000,20000,20000,20000,24.370588235294118,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,55299.25387054771,-0.060448995682721336,55299.311187415995,[-0.01773022],0.01474250263012689,4.067150432576415,0.0
-778.4430456319656,-926.6549142283229,-875.7560183237031,200.0,20,2,24000,24000,False,120,6,a3a80ffbe1384135b97e1056e4279961,2021-09-16_17-51-39,1631839899,11.24965763092041,69.38054633140564,2690,a057c1642c41,172.17.0.2,69.38054633140564,0,6,3e33d_00000,"[-826.4204103404604, -882.2128934905937, -857.3323590407189, -902.8512310400624, -900.059030159382, -894.1778381195412, -837.4427019217537, -875.349047973539, -897.4983155766906, -911.4409050692298, -892.8713276312407, -892.4076953578439, -920.4258490364875, -850.0116498741995, -881.338602778246, -872.0254879798781, -861.6016226737323, -908.2386415373885, -876.4844104100166, -892.0567396693383, -817.731628919078, -868.4008558325263, -854.574621249181, -878.7908218925088, -870.0379919558447, -877.6474673117044, -887.6667753622969, -847.1627968347716, -915.3912532437839, -894.1113348003524, -888.9406817775715, -900.1279882824786, -842.0740356320415, -890.0347805561628, -875.1883468699493, -872.5562193602545, -841.8566823697049, -913.4579545745901, -861.1497005768939, -845.6291138685049, -788.4913113760924, -903.1449387820305, -881.5116098461851, -895.1875902741751, -896.4196052989605, -926.6549142283229, -873.9735793621418, -860.3770040054819, -881.7782189107335, -893.1483836440224, -885.4890566981592, -895.2072925950602, -901.6463146926972, -834.9952916565575, -905.0412876133626, -914.5939127988585, -876.9289361503194, -778.4430456319656, -897.6861153577, -900.9080812104264, -893.123143982719, -871.2847996936995, -876.938787310762, -898.6367605496798, -856.1822038911718, -862.1200480897588, -891.1430443152209, -867.1047922924589, -870.5712100849414, -899.1970454113839, -910.4607063959227, -848.3504976099721, -879.1214475275267, -815.4775557753092, -897.7433633042381, -863.5195647868771, -892.7063127076276, -894.5355624319787, -858.0582546138274, -866.3000554909999, -895.4862076239585, -885.1042337083016, -899.7431652926218, -802.1623502514545, -846.7281222549112, -850.5971743972059, -875.2529911730223, -898.0518318144636, -888.7288658556537, -885.8055173527106, -842.1503901116729, -916.1122392090773, -880.397808746709, -887.407562654283, -865.0483381453295, -820.5170611758275, -845.4690085527064, -888.5484624311794, -853.6954209290178, -869.6156233403348]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.10086162584556646,1.4397895149942095,0.0703340501920619,0.6016538370473326,0.0,4368.81,915.581,0.065,61794534.07,7187.561,556.517,1.679,24000,24000,24000,24000,23.36875,18.0,0.0,0.20000000000000004,5.0000000000000016e-05,51312.79947706653,-0.05939796279054335,51312.85575436828,[-0.03844314],0.01505695180640391,4.0517752580745245,0.0
-778.4430456319656,-926.6549142283229,-874.6614475732588,200.0,20,2,28000,28000,False,140,7,a3a80ffbe1384135b97e1056e4279961,2021-09-16_17-51-51,1631839911,12.165625810623169,81.54617214202881,2690,a057c1642c41,172.17.0.2,81.54617214202881,0,7,3e33d_00000,"[-817.731628919078, -868.4008558325263, -854.574621249181, -878.7908218925088, -870.0379919558447, -877.6474673117044, -887.6667753622969, -847.1627968347716, -915.3912532437839, -894.1113348003524, -888.9406817775715, -900.1279882824786, -842.0740356320415, -890.0347805561628, -875.1883468699493, -872.5562193602545, -841.8566823697049, -913.4579545745901, -861.1497005768939, -845.6291138685049, -788.4913113760924, -903.1449387820305, -881.5116098461851, -895.1875902741751, -896.4196052989605, -926.6549142283229, -873.9735793621418, -860.3770040054819, -881.7782189107335, -893.1483836440224, -885.4890566981592, -895.2072925950602, -901.6463146926972, -834.9952916565575, -905.0412876133626, -914.5939127988585, -876.9289361503194, -778.4430456319656, -897.6861153577, -900.9080812104264, -893.123143982719, -871.2847996936995, -876.938787310762, -898.6367605496798, -856.1822038911718, -862.1200480897588, -891.1430443152209, -867.1047922924589, -870.5712100849414, -899.1970454113839, -910.4607063959227, -848.3504976099721, -879.1214475275267, -815.4775557753092, -897.7433633042381, -863.5195647868771, -892.7063127076276, -894.5355624319787, -858.0582546138274, -866.3000554909999, -895.4862076239585, -885.1042337083016, -899.7431652926218, -802.1623502514545, -846.7281222549112, -850.5971743972059, -875.2529911730223, -898.0518318144636, -888.7288658556537, -885.8055173527106, -842.1503901116729, -916.1122392090773, -880.397808746709, -887.407562654283, -865.0483381453295, -820.5170611758275, -845.4690085527064, -888.5484624311794, -853.6954209290178, -869.6156233403348, -871.0526856631063, -890.7262130401292, -892.612114923227, -879.5980134978763, -887.2099436576441, -856.8804369438819, -880.4920065311088, -906.8736198742245, -856.0904928554914, -899.2438464096883, -922.484757987525, -871.8604730562647, -912.623664291803, -831.7240700016192, -866.5297147176861, -846.7164120783522, -843.0154254513687, -872.9662820114152, -877.2035373591937, -856.8859742842999]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.09916916719913255,1.4194455451693893,0.06918066575963765,0.5889502691964905,0.0,4438.582,901.189,0.064,62104977.261,7203.561,555.281,1.751,28000,28000,28000,28000,24.08823529411765,18.01764705882353,0.0,0.20000000000000004,5.0000000000000016e-05,48349.07384702621,-0.06231315823432098,48349.13292800739,[-0.05878881],0.01583607056638783,4.037866229395712,0.0
-778.4430456319656,-926.6549142283229,-875.5816329578566,200.0,20,2,32000,32000,False,160,8,a3a80ffbe1384135b97e1056e4279961,2021-09-16_17-52-03,1631839923,11.567668914794922,93.11384105682373,2690,a057c1642c41,172.17.0.2,93.11384105682373,0,8,3e33d_00000,"[-788.4913113760924, -903.1449387820305, -881.5116098461851, -895.1875902741751, -896.4196052989605, -926.6549142283229, -873.9735793621418, -860.3770040054819, -881.7782189107335, -893.1483836440224, -885.4890566981592, -895.2072925950602, -901.6463146926972, -834.9952916565575, -905.0412876133626, -914.5939127988585, -876.9289361503194, -778.4430456319656, -897.6861153577, -900.9080812104264, -893.123143982719, -871.2847996936995, -876.938787310762, -898.6367605496798, -856.1822038911718, -862.1200480897588, -891.1430443152209, -867.1047922924589, -870.5712100849414, -899.1970454113839, -910.4607063959227, -848.3504976099721, -879.1214475275267, -815.4775557753092, -897.7433633042381, -863.5195647868771, -892.7063127076276, -894.5355624319787, -858.0582546138274, -866.3000554909999, -895.4862076239585, -885.1042337083016, -899.7431652926218, -802.1623502514545, -846.7281222549112, -850.5971743972059, -875.2529911730223, -898.0518318144636, -888.7288658556537, -885.8055173527106, -842.1503901116729, -916.1122392090773, -880.397808746709, -887.407562654283, -865.0483381453295, -820.5170611758275, -845.4690085527064, -888.5484624311794, -853.6954209290178, -869.6156233403348, -871.0526856631063, -890.7262130401292, -892.612114923227, -879.5980134978763, -887.2099436576441, -856.8804369438819, -880.4920065311088, -906.8736198742245, -856.0904928554914, -899.2438464096883, -922.484757987525, -871.8604730562647, -912.623664291803, -831.7240700016192, -866.5297147176861, -846.7164120783522, -843.0154254513687, -872.9662820114152, -877.2035373591937, -856.8859742842999, -842.639857834164, -907.2904511493163, -828.5335166463371, -877.8524826648794, -879.0844976896641, -892.1804909350654, -878.1929914051519, -886.6816670811751, -860.2606490962893, -889.4517108370635, -886.219893823895, -905.5991176711586, -878.3118011182513, -900.4340019887966, -866.991487974966, -873.2180983628936, -874.2574039988541, -881.020283107578, -865.3962112973245, -860.9329750471619]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.09867423541002326,1.4146221214799024,0.06883879100426586,0.5831572988744841,0.0,4490.203,890.828,0.08,50156101.644,7141.541,560.103,1.754,32000,32000,32000,32000,24.894117647058824,18.1,0.0,0.20000000000000004,5.0000000000000016e-05,44998.12397723454,-0.05954364845378985,44998.180758568546,[-0.07220684],0.014030113016086814,4.020858087590946,0.0
-780.6423256331034,-922.484757987525,-872.3432776720725,200.0,20,2,36000,36000,False,180,9,a3a80ffbe1384135b97e1056e4279961,2021-09-16_17-52-15,1631839935,12.297828912734985,105.41166996955872,2690,a057c1642c41,172.17.0.2,105.41166996955872,0,9,3e33d_00000,"[-893.123143982719, -871.2847996936995, -876.938787310762, -898.6367605496798, -856.1822038911718, -862.1200480897588, -891.1430443152209, -867.1047922924589, -870.5712100849414, -899.1970454113839, -910.4607063959227, -848.3504976099721, -879.1214475275267, -815.4775557753092, -897.7433633042381, -863.5195647868771, -892.7063127076276, -894.5355624319787, -858.0582546138274, -866.3000554909999, -895.4862076239585, -885.1042337083016, -899.7431652926218, -802.1623502514545, -846.7281222549112, -850.5971743972059, -875.2529911730223, -898.0518318144636, -888.7288658556537, -885.8055173527106, -842.1503901116729, -916.1122392090773, -880.397808746709, -887.407562654283, -865.0483381453295, -820.5170611758275, -845.4690085527064, -888.5484624311794, -853.6954209290178, -869.6156233403348, -871.0526856631063, -890.7262130401292, -892.612114923227, -879.5980134978763, -887.2099436576441, -856.8804369438819, -880.4920065311088, -906.8736198742245, -856.0904928554914, -899.2438464096883, -922.484757987525, -871.8604730562647, -912.623664291803, -831.7240700016192, -866.5297147176861, -846.7164120783522, -843.0154254513687, -872.9662820114152, -877.2035373591937, -856.8859742842999, -842.639857834164, -907.2904511493163, -828.5335166463371, -877.8524826648794, -879.0844976896641, -892.1804909350654, -878.1929914051519, -886.6816670811751, -860.2606490962893, -889.4517108370635, -886.219893823895, -905.5991176711586, -878.3118011182513, -900.4340019887966, -866.991487974966, -873.2180983628936, -874.2574039988541, -881.020283107578, -865.3962112973245, -860.9329750471619, -889.6499575663058, -896.2096483931595, -876.3883536095005, -837.5535194905286, -865.1911959441501, -916.8332251743707, -853.4017131870496, -870.094644114592, -878.8400776947209, -791.8942764410837, -813.7024714609848, -867.5542595853897, -860.7544306388043, -905.3670036405653, -888.2966460797008, -904.0783364570331, -878.6184106123608, -851.651272746237, -780.6423256331034, -841.0691930852228]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.0993350667510255,1.4260660529732005,0.06932546315805956,0.583568686145685,0.0,4563.57,876.507,0.077,51675203.285,7141.42,560.113,1.727,36000,36000,36000,36000,25.53529411764706,18.1,0.0,0.20000000000000004,5.0000000000000016e-05,39061.45684433804,-0.05762980587840561,39061.511622143815,[-0.03163056],0.014790019123344364,3.9876690241598314,0.0
-780.6423256331034,-927.3956025145011,-873.5777053889201,200.0,20,2,40000,40000,False,200,10,a3a80ffbe1384135b97e1056e4279961,2021-09-16_17-52-27,1631839947,12.09538459777832,117.50705456733704,2690,a057c1642c41,172.17.0.2,117.50705456733704,0,10,3e33d_00000,"[-895.4862076239585, -885.1042337083016, -899.7431652926218, -802.1623502514545, -846.7281222549112, -850.5971743972059, -875.2529911730223, -898.0518318144636, -888.7288658556537, -885.8055173527106, -842.1503901116729, -916.1122392090773, -880.397808746709, -887.407562654283, -865.0483381453295, -820.5170611758275, -845.4690085527064, -888.5484624311794, -853.6954209290178, -869.6156233403348, -871.0526856631063, -890.7262130401292, -892.612114923227, -879.5980134978763, -887.2099436576441, -856.8804369438819, -880.4920065311088, -906.8736198742245, -856.0904928554914, -899.2438464096883, -922.484757987525, -871.8604730562647, -912.623664291803, -831.7240700016192, -866.5297147176861, -846.7164120783522, -843.0154254513687, -872.9662820114152, -877.2035373591937, -856.8859742842999, -842.639857834164, -907.2904511493163, -828.5335166463371, -877.8524826648794, -879.0844976896641, -892.1804909350654, -878.1929914051519, -886.6816670811751, -860.2606490962893, -889.4517108370635, -886.219893823895, -905.5991176711586, -878.3118011182513, -900.4340019887966, -866.991487974966, -873.2180983628936, -874.2574039988541, -881.020283107578, -865.3962112973245, -860.9329750471619, -889.6499575663058, -896.2096483931595, -876.3883536095005, -837.5535194905286, -865.1911959441501, -916.8332251743707, -853.4017131870496, -870.094644114592, -878.8400776947209, -791.8942764410837, -813.7024714609848, -867.5542595853897, -860.7544306388043, -905.3670036405653, -888.2966460797008, -904.0783364570331, -878.6184106123608, -851.651272746237, -780.6423256331034, -841.0691930852228, -849.2838952849747, -866.9570248858236, -903.5968608788681, -885.7285670852874, -871.6105157209028, -866.8855800140067, -883.1062907360354, -914.7841673837754, -845.4197527504938, -884.1658944806725, -907.0410896017455, -856.7351243411525, -892.6219660836699, -896.3875970137261, -857.3723594702802, -927.3956025145011, -913.8335221917961, -906.7695709293822, -870.3766097351888, -835.9459368485373]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200]",0.1003919183737948,1.4423293797406354,0.06999076001528719,0.586192888504193,0.0,4621.981,865.43,0.076,52396052.467,7121.37,561.69,1.72,40000,40000,40000,40000,24.511111111111113,18.100000000000005,0.0,0.20000000000000004,5.0000000000000016e-05,38352.010353662634,-0.06098109737078669,38352.068277469756,[-0.07640204],0.015080277985004886,3.960540364634606,0.0
